Days Since Servicing,Warranty Status,Days Since Purchase,Company,Status
85.0,True,424.0,3,No servicing required
270.0,True,657.0,3,No servicing required
186.0,True,833.0,3,Service required soon
103.0,False,415.0,3,No servicing required
278.0,True,387.0,2,Perfect
230.0,False,397.0,4,No servicing required
84.0,False,543.0,1,No servicing required
428.0,True,999.0,3,Delay for servicing
56.0,False,266.0,1,Perfect
289.0,False,336.0,4,No servicing required
386.0,False,851.0,4,Delay for servicing
190.0,False,627.0,2,No servicing required
450.0,True,666.0,1,No servicing required
41.0,True,892.0,3,Service required soon
122.0,True,386.0,2,Perfect
225.0,True,315.0,1,Perfect
749.0,False,886.0,1,Delay for servicing
309.0,True,614.0,3,No servicing required
329.0,True,643.0,2,No servicing required
434.0,True,798.0,2,Service required soon
121.0,False,261.0,2,Perfect
144.0,False,652.0,3,Service required soon
645.0,False,844.0,2,Delay for servicing
175.0,True,275.0,1,Perfect
899.0,True,979.0,1,Delay for servicing
145.0,False,468.0,2,No servicing required
113.0,True,759.0,4,Service required soon
880.0,True,893.0,1,Urgent Servicing Required
217.0,True,461.0,1,No servicing required
369.0,True,673.0,3,No servicing required
105.0,True,924.0,3,Urgent Servicing Required
215.0,True,339.0,3,Perfect
695.0,True,733.0,1,Service required soon
188.0,True,340.0,4,Perfect
284.0,False,688.0,4,Service required soon
308.0,True,860.0,4,Urgent Servicing Required
314.0,True,772.0,3,Service required soon
65.0,True,327.0,1,Perfect
317.0,True,759.0,1,Service required soon
77.0,False,543.0,2,No servicing required
35.0,True,59.0,2,Perfect
157.0,False,953.0,2,Delay for servicing
357.0,True,451.0,3,No servicing required
195.0,False,536.0,1,No servicing required
79.0,False,156.0,1,Perfect
399.0,False,984.0,1,Delay for servicing
378.0,False,932.0,2,Delay for servicing
1.0,True,898.0,4,Service required soon
762.0,True,992.0,1,Delay for servicing
0.0,True,719.0,1,No servicing required
30.0,True,979.0,2,Urgent Servicing Required
143.0,True,334.0,2,Perfect
74.0,True,87.0,1,Perfect
183.0,True,727.0,1,No servicing required
473.0,False,509.0,2,No servicing required
94.0,True,593.0,3,No servicing required
154.0,True,628.0,4,No servicing required
10.0,True,18.0,3,Perfect
53.0,True,809.0,1,Service required soon
535.0,True,885.0,3,Urgent Servicing Required
531.0,True,745.0,4,Service required soon
94.0,True,285.0,1,Perfect
256.0,True,279.0,3,Perfect
189.0,True,819.0,3,Service required soon
760.0,True,825.0,2,Urgent Servicing Required
13.0,True,967.0,2,Urgent Servicing Required
450.0,True,557.0,1,No servicing required
107.0,True,588.0,2,No servicing required
86.0,False,275.0,1,Perfect
640.0,True,938.0,3,Delay for servicing
163.0,False,668.0,3,Service required soon
382.0,True,808.0,4,Urgent Servicing Required
308.0,True,368.0,3,No servicing required
134.0,True,677.0,4,No servicing required
29.0,True,363.0,2,Perfect
50.0,True,876.0,4,Service required soon
972.0,False,997.0,3,Ground
550.0,True,741.0,2,Service required soon
309.0,True,664.0,4,No servicing required
427.0,True,586.0,3,No servicing required
482.0,True,709.0,2,Service required soon
628.0,True,675.0,3,Service required soon
570.0,False,645.0,2,Service required soon
149.0,True,229.0,1,Perfect
397.0,False,796.0,3,Urgent Servicing Required
779.0,True,825.0,3,Urgent Servicing Required
926.0,False,936.0,4,Ground
164.0,False,220.0,2,Perfect
249.0,False,857.0,1,Urgent Servicing Required
435.0,False,827.0,1,Urgent Servicing Required
764.0,True,980.0,4,Delay for servicing
68.0,True,966.0,2,Urgent Servicing Required
518.0,True,861.0,4,Urgent Servicing Required
684.0,True,739.0,4,Service required soon
489.0,True,873.0,1,Urgent Servicing Required
310.0,False,370.0,4,No servicing required
312.0,True,890.0,3,Urgent Servicing Required
902.0,True,930.0,4,Delay for servicing
407.0,False,847.0,4,Urgent Servicing Required
200.0,True,315.0,4,Perfect
44.0,True,191.0,1,Perfect
347.0,True,503.0,4,No servicing required
559.0,False,627.0,4,Service required soon
226.0,True,732.0,1,No servicing required
81.0,False,915.0,2,Urgent Servicing Required
12.0,False,965.0,2,Urgent Servicing Required
433.0,True,875.0,2,Urgent Servicing Required
355.0,True,868.0,4,Urgent Servicing Required
82.0,False,577.0,1,No servicing required
44.0,False,465.0,2,No servicing required
610.0,False,803.0,2,Delay for servicing
265.0,True,527.0,4,No servicing required
486.0,True,988.0,2,Urgent Servicing Required
156.0,True,603.0,4,No servicing required
162.0,True,578.0,3,No servicing required
416.0,False,843.0,1,Urgent Servicing Required
141.0,True,218.0,2,Perfect
181.0,True,824.0,3,Service required soon
285.0,False,472.0,1,No servicing required
396.0,True,425.0,3,No servicing required
664.0,False,816.0,2,Delay for servicing
105.0,True,916.0,3,Urgent Servicing Required
487.0,True,579.0,2,No servicing required
450.0,False,981.0,2,Delay for servicing
486.0,True,840.0,2,Service required soon
407.0,False,537.0,2,No servicing required
109.0,False,331.0,2,No servicing required
847.0,True,895.0,2,Urgent Servicing Required
133.0,True,157.0,1,Perfect
81.0,False,637.0,4,Service required soon
104.0,True,723.0,3,No servicing required
143.0,False,969.0,3,Delay for servicing
319.0,False,857.0,3,Urgent Servicing Required
700.0,False,906.0,1,Delay for servicing
20.0,True,898.0,3,Service required soon
307.0,False,570.0,3,No servicing required
447.0,True,510.0,4,No servicing required
736.0,True,984.0,4,Delay for servicing
45.0,True,498.0,1,Perfect
365.0,False,464.0,4,No servicing required
240.0,True,758.0,1,Service required soon
105.0,True,623.0,3,No servicing required
240.0,True,631.0,4,No servicing required
592.0,True,787.0,1,Service required soon
195.0,True,821.0,3,Service required soon
501.0,True,781.0,2,Service required soon
356.0,True,442.0,4,No servicing required
612.0,True,743.0,1,Service required soon
10.0,False,502.0,2,No servicing required
593.0,False,730.0,3,Urgent Servicing Required
217.0,False,791.0,3,Urgent Servicing Required
2.0,False,399.0,1,No servicing required
171.0,False,204.0,3,Perfect
301.0,True,974.0,1,Urgent Servicing Required
943.0,True,950.0,1,Delay for servicing
209.0,True,493.0,3,No servicing required
673.0,False,973.0,2,Ground
20.0,True,384.0,4,Perfect
153.0,True,544.0,3,No servicing required
489.0,True,845.0,3,Urgent Servicing Required
387.0,True,508.0,2,No servicing required
587.0,True,991.0,1,Urgent Servicing Required
54.0,True,498.0,1,No servicing required
577.0,True,904.0,2,Urgent Servicing Required
86.0,True,637.0,2,No servicing required
240.0,True,446.0,4,No servicing required
77.0,False,886.0,4,Urgent Servicing Required
390.0,False,725.0,4,Urgent Servicing Required
265.0,True,661.0,1,No servicing required
526.0,True,817.0,2,Service required soon
164.0,True,738.0,2,No servicing required
41.0,False,473.0,4,No servicing required
8.0,True,543.0,4,No servicing required
87.0,True,318.0,1,Perfect
129.0,True,200.0,1,Perfect
342.0,False,581.0,4,Service required soon
438.0,False,533.0,4,No servicing required
216.0,False,425.0,2,No servicing required
877.0,False,892.0,2,Delay for servicing
41.0,False,106.0,2,Perfect
450.0,True,529.0,1,No servicing required
831.0,True,901.0,3,Delay for servicing
728.0,True,980.0,4,Delay for servicing
293.0,False,864.0,1,Urgent Servicing Required
331.0,True,993.0,2,Urgent Servicing Required
397.0,False,922.0,4,Delay for servicing
544.0,False,605.0,4,Service required soon
452.0,False,969.0,4,Ground
607.0,True,902.0,4,Delay for servicing
85.0,True,798.0,2,No servicing required
193.0,False,872.0,3,Urgent Servicing Required
344.0,True,454.0,1,No servicing required
36.0,True,82.0,4,Perfect
58.0,True,575.0,3,No servicing required
447.0,True,576.0,4,No servicing required
581.0,False,947.0,1,Delay for servicing
143.0,True,248.0,2,Perfect
94.0,True,264.0,1,Perfect
14.0,True,476.0,1,Perfect
376.0,True,719.0,4,Service required soon
740.0,True,892.0,3,Urgent Servicing Required
347.0,False,659.0,3,Service required soon
478.0,False,937.0,3,Delay for servicing
157.0,True,756.0,3,Service required soon
284.0,True,672.0,2,No servicing required
755.0,False,985.0,1,Ground
272.0,True,755.0,1,Service required soon
230.0,True,513.0,2,No servicing required
318.0,True,608.0,1,No servicing required
457.0,True,937.0,1,Urgent Servicing Required
8.0,True,12.0,2,Perfect
307.0,True,571.0,3,No servicing required
675.0,True,677.0,2,Service required soon
65.0,True,335.0,1,Perfect
562.0,True,986.0,4,Delay for servicing
316.0,True,579.0,4,No servicing required
432.0,True,988.0,3,Delay for servicing
129.0,False,898.0,2,Urgent Servicing Required
114.0,True,839.0,3,Service required soon
156.0,True,436.0,4,No servicing required
663.0,True,717.0,1,Service required soon
91.0,True,823.0,2,Service required soon
392.0,True,743.0,1,No servicing required
270.0,True,421.0,1,No servicing required
709.0,True,823.0,3,Urgent Servicing Required
419.0,True,443.0,1,No servicing required
206.0,True,367.0,1,Perfect
118.0,True,397.0,4,Perfect
175.0,True,275.0,4,Perfect
648.0,True,732.0,4,Service required soon
629.0,True,682.0,3,Service required soon
576.0,True,742.0,4,Service required soon
129.0,False,283.0,4,No servicing required
351.0,True,472.0,3,No servicing required
20.0,True,674.0,3,No servicing required
540.0,False,632.0,1,Service required soon
169.0,True,579.0,4,No servicing required
72.0,False,969.0,4,Delay for servicing
662.0,True,671.0,1,Service required soon
445.0,False,875.0,3,Delay for servicing
278.0,True,562.0,1,No servicing required
711.0,True,793.0,1,Service required soon
755.0,True,853.0,4,Delay for servicing
244.0,False,654.0,1,Service required soon
111.0,False,853.0,1,Urgent Servicing Required
529.0,True,754.0,2,Service required soon
216.0,False,901.0,2,Delay for servicing
16.0,False,514.0,1,No servicing required
18.0,True,247.0,3,Perfect
506.0,True,527.0,4,No servicing required
566.0,False,701.0,1,Urgent Servicing Required
275.0,True,840.0,1,Service required soon
127.0,True,369.0,1,Perfect
483.0,True,604.0,1,No servicing required
116.0,False,161.0,4,Perfect
113.0,True,292.0,3,Perfect
343.0,True,820.0,3,Service required soon
390.0,True,874.0,4,Urgent Servicing Required
699.0,False,846.0,4,Delay for servicing
174.0,True,792.0,1,No servicing required
337.0,False,747.0,2,Service required soon
439.0,False,518.0,2,No servicing required
77.0,True,290.0,2,Perfect
66.0,True,652.0,1,No servicing required
26.0,True,48.0,4,Perfect
46.0,True,775.0,2,No servicing required
200.0,True,337.0,2,Perfect
832.0,True,963.0,2,Delay for servicing
658.0,False,918.0,2,Delay for servicing
170.0,True,669.0,1,No servicing required
338.0,False,342.0,1,No servicing required
263.0,False,536.0,1,No servicing required
148.0,True,278.0,4,Perfect
813.0,True,996.0,3,Delay for servicing
293.0,True,400.0,1,No servicing required
133.0,True,169.0,3,Perfect
13.0,False,865.0,3,Urgent Servicing Required
458.0,True,740.0,4,Service required soon
269.0,True,375.0,3,No servicing required
399.0,True,428.0,1,No servicing required
306.0,True,726.0,2,No servicing required
92.0,True,632.0,3,No servicing required
16.0,True,195.0,1,Perfect
533.0,False,756.0,1,Urgent Servicing Required
301.0,True,321.0,1,Perfect
39.0,False,627.0,1,No servicing required
149.0,False,225.0,4,Perfect
407.0,True,861.0,4,Urgent Servicing Required
389.0,True,856.0,1,Service required soon
299.0,False,570.0,1,No servicing required
934.0,True,943.0,4,Delay for servicing
616.0,False,799.0,2,Urgent Servicing Required
644.0,True,840.0,4,Urgent Servicing Required
602.0,True,713.0,4,Service required soon
352.0,True,814.0,3,Service required soon
251.0,False,867.0,2,Urgent Servicing Required
548.0,True,730.0,2,Service required soon
357.0,True,962.0,4,Delay for servicing
200.0,False,841.0,2,Urgent Servicing Required
785.0,True,802.0,4,Urgent Servicing Required
410.0,True,741.0,2,Service required soon
150.0,True,829.0,2,Service required soon
563.0,False,764.0,2,Urgent Servicing Required
273.0,True,512.0,1,No servicing required
645.0,True,749.0,4,Service required soon
101.0,True,408.0,4,No servicing required
72.0,True,103.0,3,Perfect
159.0,False,184.0,1,Perfect
137.0,True,806.0,4,Service required soon
278.0,True,824.0,4,Service required soon
158.0,True,407.0,1,Perfect
600.0,True,667.0,4,Service required soon
504.0,True,621.0,2,No servicing required
734.0,False,810.0,1,Delay for servicing
394.0,True,747.0,4,Service required soon
130.0,False,923.0,3,Delay for servicing
90.0,True,846.0,4,Service required soon
320.0,True,505.0,4,No servicing required
45.0,True,598.0,1,No servicing required
442.0,True,545.0,3,No servicing required
124.0,False,359.0,1,No servicing required
398.0,False,486.0,4,No servicing required
637.0,True,977.0,1,Urgent Servicing Required
73.0,True,778.0,1,No servicing required
92.0,True,438.0,4,No servicing required
217.0,True,263.0,4,Perfect
69.0,True,625.0,2,No servicing required
252.0,True,750.0,1,Service required soon
19.0,True,482.0,4,No servicing required
660.0,False,849.0,2,Delay for servicing
135.0,True,448.0,2,Perfect
220.0,True,693.0,3,No servicing required
318.0,False,870.0,2,Urgent Servicing Required
453.0,True,612.0,1,No servicing required
753.0,False,957.0,2,Ground
844.0,True,862.0,1,Urgent Servicing Required
165.0,True,599.0,1,No servicing required
393.0,True,946.0,3,Urgent Servicing Required
8.0,False,305.0,3,No servicing required
316.0,True,387.0,2,Perfect
137.0,True,138.0,1,Perfect
509.0,True,862.0,2,Urgent Servicing Required
348.0,False,666.0,2,Service required soon
151.0,False,193.0,1,Perfect
201.0,True,581.0,1,No servicing required
111.0,False,179.0,3,Perfect
200.0,True,382.0,4,No servicing required
208.0,True,654.0,3,No servicing required
809.0,True,879.0,1,Urgent Servicing Required
179.0,True,783.0,4,Service required soon
27.0,True,930.0,1,Service required soon
271.0,False,868.0,4,Delay for servicing
222.0,False,454.0,1,No servicing required
95.0,False,703.0,1,Service required soon
552.0,False,900.0,2,Delay for servicing
282.0,True,406.0,4,No servicing required
469.0,True,884.0,1,Urgent Servicing Required
789.0,False,982.0,2,Ground
201.0,True,352.0,4,No servicing required
198.0,False,600.0,3,Service required soon
646.0,True,868.0,1,Urgent Servicing Required
627.0,True,745.0,2,Service required soon
81.0,False,673.0,2,Service required soon
575.0,True,794.0,3,Service required soon
566.0,True,897.0,2,Urgent Servicing Required
199.0,True,429.0,2,No servicing required
218.0,True,269.0,2,Perfect
316.0,False,849.0,3,Urgent Servicing Required
580.0,True,655.0,3,Service required soon
439.0,True,853.0,4,Urgent Servicing Required
592.0,True,874.0,1,Urgent Servicing Required
327.0,True,362.0,4,No servicing required
516.0,True,527.0,2,No servicing required
21.0,True,482.0,2,No servicing required
299.0,True,528.0,1,No servicing required
280.0,True,690.0,4,No servicing required
511.0,False,815.0,3,Delay for servicing
83.0,True,651.0,3,No servicing required
873.0,True,959.0,3,Delay for servicing
75.0,True,530.0,3,No servicing required
463.0,False,848.0,4,Delay for servicing
316.0,True,429.0,4,No servicing required
660.0,False,905.0,4,Ground
459.0,True,685.0,3,Service required soon
72.0,False,859.0,4,Urgent Servicing Required
590.0,True,987.0,1,Urgent Servicing Required
150.0,False,498.0,3,No servicing required
274.0,True,899.0,2,Service required soon
262.0,True,543.0,1,No servicing required
139.0,True,368.0,2,Perfect
255.0,True,884.0,4,Urgent Servicing Required
502.0,True,973.0,3,Delay for servicing
640.0,False,941.0,1,Delay for servicing
654.0,False,801.0,4,Delay for servicing
826.0,True,956.0,3,Delay for servicing
73.0,True,288.0,3,Perfect
63.0,True,894.0,3,Service required soon
57.0,True,992.0,1,Urgent Servicing Required
58.0,False,372.0,3,No servicing required
355.0,True,911.0,3,Urgent Servicing Required
394.0,False,541.0,1,No servicing required
78.0,True,843.0,4,Service required soon
49.0,True,255.0,4,Perfect
537.0,True,771.0,1,Service required soon
617.0,True,819.0,3,Urgent Servicing Required
253.0,False,668.0,3,Service required soon
706.0,True,921.0,2,Urgent Servicing Required
508.0,True,535.0,2,No servicing required
105.0,False,646.0,4,Service required soon
154.0,True,157.0,3,Perfect
65.0,False,760.0,4,Urgent Servicing Required
364.0,False,417.0,3,No servicing required
185.0,True,944.0,1,Service required soon
606.0,True,930.0,2,Urgent Servicing Required
370.0,True,463.0,1,No servicing required
145.0,True,625.0,3,No servicing required
311.0,True,786.0,4,Service required soon
688.0,True,809.0,4,Urgent Servicing Required
806.0,True,989.0,3,Delay for servicing
517.0,True,723.0,1,Service required soon
240.0,False,357.0,1,No servicing required
249.0,True,325.0,2,Perfect
236.0,True,487.0,4,No servicing required
351.0,True,599.0,2,No servicing required
419.0,True,920.0,1,Urgent Servicing Required
337.0,True,347.0,2,Perfect
0.0,False,297.0,3,Perfect
203.0,True,284.0,4,Perfect
62.0,False,844.0,1,Service required soon
365.0,False,876.0,4,Delay for servicing
79.0,True,794.0,2,No servicing required
296.0,True,942.0,3,Urgent Servicing Required
280.0,False,784.0,4,Urgent Servicing Required
81.0,False,890.0,1,Urgent Servicing Required
275.0,True,987.0,3,Urgent Servicing Required
292.0,False,866.0,1,Urgent Servicing Required
26.0,False,768.0,3,Service required soon
234.0,True,749.0,1,No servicing required
650.0,True,737.0,3,Service required soon
645.0,True,849.0,3,Urgent Servicing Required
316.0,True,908.0,1,Urgent Servicing Required
632.0,False,901.0,2,Delay for servicing
663.0,True,774.0,3,Urgent Servicing Required
86.0,False,875.0,1,Urgent Servicing Required
511.0,True,989.0,1,Urgent Servicing Required
494.0,True,602.0,4,No servicing required
148.0,False,388.0,1,No servicing required
521.0,True,643.0,3,No servicing required
70.0,True,735.0,3,No servicing required
339.0,True,862.0,1,Service required soon
331.0,True,430.0,2,No servicing required
42.0,True,319.0,2,Perfect
320.0,True,847.0,2,Service required soon
623.0,True,678.0,1,Service required soon
559.0,True,724.0,4,Service required soon
229.0,False,408.0,2,No servicing required
99.0,True,755.0,4,Service required soon
693.0,True,738.0,4,Service required soon
227.0,True,506.0,4,No servicing required
555.0,True,590.0,1,No servicing required
61.0,True,74.0,2,Perfect
62.0,True,394.0,4,Perfect
77.0,False,81.0,4,Perfect
543.0,False,886.0,2,Delay for servicing
230.0,True,474.0,4,No servicing required
492.0,True,922.0,1,Urgent Servicing Required
651.0,True,922.0,1,Urgent Servicing Required
390.0,True,517.0,1,No servicing required
638.0,True,820.0,4,Urgent Servicing Required
245.0,True,476.0,1,No servicing required
478.0,True,989.0,1,Urgent Servicing Required
638.0,True,647.0,1,No servicing required
613.0,True,664.0,1,Service required soon
37.0,True,696.0,4,No servicing required
158.0,True,993.0,4,Urgent Servicing Required
145.0,True,668.0,4,No servicing required
274.0,True,871.0,3,Urgent Servicing Required
606.0,False,630.0,3,Service required soon
166.0,False,286.0,3,No servicing required
531.0,False,719.0,1,Service required soon
463.0,True,852.0,3,Urgent Servicing Required
98.0,False,124.0,2,Perfect
117.0,False,208.0,2,Perfect
70.0,False,218.0,2,Perfect
497.0,True,868.0,3,Urgent Servicing Required
424.0,True,443.0,2,No servicing required
1.0,True,995.0,1,Service required soon
235.0,True,928.0,4,Urgent Servicing Required
182.0,False,329.0,3,No servicing required
105.0,True,739.0,1,No servicing required
399.0,True,510.0,1,No servicing required
216.0,True,471.0,2,No servicing required
143.0,True,476.0,4,No servicing required
277.0,True,780.0,2,Service required soon
138.0,True,855.0,4,Service required soon
402.0,True,959.0,2,Urgent Servicing Required
168.0,True,868.0,4,Urgent Servicing Required
231.0,False,760.0,3,Urgent Servicing Required
208.0,True,301.0,2,Perfect
521.0,True,962.0,4,Delay for servicing
633.0,False,936.0,4,Delay for servicing
135.0,True,612.0,4,No servicing required
470.0,True,682.0,1,No servicing required
225.0,True,697.0,4,No servicing required
91.0,True,539.0,3,No servicing required
290.0,False,889.0,4,Delay for servicing
671.0,True,925.0,2,Urgent Servicing Required
765.0,True,931.0,4,Delay for servicing
442.0,False,805.0,2,Urgent Servicing Required
379.0,False,848.0,1,Urgent Servicing Required
569.0,True,645.0,1,No servicing required
225.0,True,805.0,1,Service required soon
157.0,False,661.0,3,Service required soon
347.0,True,611.0,1,No servicing required
144.0,True,960.0,1,Urgent Servicing Required
230.0,True,321.0,2,Perfect
560.0,True,935.0,3,Urgent Servicing Required
71.0,True,416.0,2,Perfect
31.0,True,523.0,2,No servicing required
447.0,True,684.0,1,No servicing required
129.0,True,306.0,2,Perfect
25.0,True,833.0,2,Service required soon
160.0,True,878.0,3,Service required soon
162.0,True,554.0,2,No servicing required
872.0,False,938.0,4,Ground
224.0,True,596.0,1,No servicing required
153.0,False,412.0,3,No servicing required
111.0,True,154.0,4,Perfect
368.0,True,874.0,2,Urgent Servicing Required
698.0,False,719.0,4,Urgent Servicing Required
101.0,False,510.0,3,No servicing required
12.0,False,794.0,1,Service required soon
241.0,False,888.0,4,Urgent Servicing Required
302.0,True,822.0,3,Service required soon
337.0,True,668.0,3,No servicing required
726.0,True,992.0,3,Delay for servicing
72.0,True,292.0,4,Perfect
358.0,True,439.0,1,No servicing required
272.0,True,623.0,3,No servicing required
1.0,False,876.0,3,Urgent Servicing Required
196.0,True,552.0,2,No servicing required
231.0,True,774.0,3,Service required soon
239.0,False,512.0,2,No servicing required
310.0,False,899.0,2,Urgent Servicing Required
492.0,False,803.0,1,Urgent Servicing Required
944.0,True,947.0,4,Delay for servicing
391.0,True,798.0,2,Service required soon
56.0,True,406.0,4,No servicing required
68.0,False,652.0,2,Service required soon
171.0,True,754.0,3,Service required soon
488.0,False,620.0,1,Service required soon
549.0,False,768.0,1,Urgent Servicing Required
705.0,True,788.0,1,Service required soon
301.0,True,745.0,4,Service required soon
570.0,True,816.0,2,Urgent Servicing Required
8.0,True,155.0,3,Perfect
635.0,False,880.0,1,Delay for servicing
6.0,True,929.0,2,Service required soon
1.0,False,607.0,3,No servicing required
517.0,True,624.0,3,No servicing required
922.0,True,982.0,3,Delay for servicing
560.0,True,630.0,1,No servicing required
4.0,False,252.0,4,Perfect
391.0,True,520.0,3,No servicing required
149.0,True,906.0,2,Service required soon
56.0,False,164.0,3,Perfect
881.0,True,951.0,2,Delay for servicing
579.0,True,783.0,3,Service required soon
187.0,True,303.0,4,Perfect
224.0,False,989.0,1,Delay for servicing
34.0,True,861.0,4,Service required soon
642.0,False,767.0,1,Urgent Servicing Required
421.0,False,587.0,4,Service required soon
715.0,False,964.0,3,Ground
82.0,True,389.0,1,Perfect
185.0,True,875.0,2,Service required soon
160.0,False,730.0,4,Service required soon
142.0,True,469.0,2,No servicing required
471.0,True,909.0,1,Urgent Servicing Required
325.0,True,326.0,1,Perfect
91.0,True,948.0,2,Service required soon
208.0,True,484.0,1,No servicing required
228.0,True,678.0,2,No servicing required
578.0,True,581.0,2,No servicing required
227.0,True,988.0,1,Urgent Servicing Required
599.0,True,606.0,3,No servicing required
534.0,False,948.0,2,Delay for servicing
543.0,True,571.0,4,No servicing required
310.0,False,600.0,1,No servicing required
152.0,False,493.0,4,No servicing required
296.0,True,341.0,2,Perfect
489.0,False,588.0,3,Service required soon
198.0,True,342.0,2,Perfect
324.0,False,796.0,1,Service required soon
70.0,True,475.0,4,No servicing required
234.0,False,713.0,2,Service required soon
457.0,True,530.0,1,No servicing required
899.0,True,987.0,1,Delay for servicing
18.0,True,320.0,1,Perfect
442.0,True,685.0,1,No servicing required
248.0,True,870.0,2,Service required soon
21.0,True,341.0,3,Perfect
6.0,True,408.0,3,Perfect
470.0,True,473.0,4,No servicing required
339.0,True,962.0,2,Urgent Servicing Required
343.0,True,839.0,2,Service required soon
514.0,False,632.0,4,Service required soon
153.0,True,462.0,1,No servicing required
189.0,True,518.0,4,No servicing required
181.0,True,288.0,3,Perfect
842.0,False,929.0,3,Ground
144.0,True,565.0,2,No servicing required
245.0,True,671.0,4,No servicing required
594.0,True,919.0,4,Delay for servicing
505.0,True,801.0,1,Service required soon
770.0,True,991.0,1,Delay for servicing
266.0,True,507.0,4,No servicing required
815.0,True,969.0,1,Delay for servicing
592.0,True,654.0,1,No servicing required
695.0,True,871.0,4,Urgent Servicing Required
182.0,False,520.0,1,No servicing required
406.0,False,959.0,4,Delay for servicing
531.0,True,710.0,1,Service required soon
646.0,True,702.0,4,Service required soon
497.0,True,915.0,1,Urgent Servicing Required
208.0,True,501.0,3,No servicing required
31.0,False,534.0,1,No servicing required
318.0,True,671.0,1,No servicing required
158.0,True,235.0,3,Perfect
2.0,False,70.0,1,Perfect
511.0,False,873.0,4,Delay for servicing
290.0,True,859.0,3,Urgent Servicing Required
230.0,False,289.0,4,No servicing required
379.0,True,586.0,3,No servicing required
66.0,False,765.0,1,Service required soon
121.0,True,146.0,2,Perfect
676.0,True,739.0,3,Service required soon
441.0,True,603.0,2,No servicing required
883.0,True,940.0,1,Delay for servicing
76.0,True,327.0,4,Perfect
277.0,True,942.0,3,Urgent Servicing Required
385.0,True,467.0,3,No servicing required
855.0,True,874.0,3,Delay for servicing
750.0,True,963.0,4,Delay for servicing
38.0,True,474.0,1,Perfect
525.0,False,783.0,2,Urgent Servicing Required
71.0,True,569.0,2,No servicing required
278.0,False,584.0,1,No servicing required
331.0,False,357.0,4,No servicing required
0.0,True,245.0,1,Perfect
476.0,True,982.0,2,Urgent Servicing Required
41.0,True,339.0,2,Perfect
452.0,False,804.0,3,Urgent Servicing Required
323.0,False,351.0,1,No servicing required
162.0,False,637.0,4,Service required soon
489.0,True,549.0,1,No servicing required
732.0,False,913.0,2,Delay for servicing
628.0,True,901.0,2,Urgent Servicing Required
89.0,False,458.0,4,No servicing required
365.0,True,383.0,1,Perfect
602.0,True,857.0,1,Urgent Servicing Required
142.0,False,143.0,3,Perfect
